persona,Alejandro García López,María Fernández Ruiz,Carlos Martínez Sánchez,Lucía Rodríguez Gómez,Javier Pérez Martín,Elena Torres Díaz,David Navarro Romero,Sofía Castillo Moreno
Juan Pérez García,1,0,0,1,0,0,1,0
Ana López Martín,0,1,0,0,1,0,0,1
Luis Sánchez Ruiz,1,0,1,0,0,0,1,0
Carmen Torres Vega,0,1,0,1,0,1,0,0
Miguel Navarro Díaz,1,0,0,0,1,0,0,1
Laura Castillo Romero,0,0,1,0,0,1,1,0
José Martín Pérez,1,1,0,0,0,0,0,1
Marta Gómez Ruiz,0,0,1,1,0,0,1,0
Francisco Díaz López,1,0,0,0,1,1,0,0
Elena Ruiz García,0,1,0,0,0,1,0,1
Antonio Sánchez Martín,1,0,1,0,0,0,0,1
Paula Navarro Gómez,0,1,0,1,0,0,1,0
Carlos Torres Pérez,1,0,0,0,1,0,1,0
Sara Castillo López,0,0,1,0,0,1,0,1
Jorge Fernández Ruiz,1,1,0,0,0,0,1,0
Lucía Pérez Martín,0,0,0,1,1,0,0,1
Daniel Gómez Sánchez,1,0,1,0,0,1,0,0
Cristina Díaz Romero,0,1,0,0,1,0,1,0
Raúl Navarro Pérez,1,0,0,1,0,0,0,1
Silvia Torres García,0,1,1,0,0,0,1,0
Alberto Martín Ruiz,1,0,0,0,1,0,0,1
Natalia Castillo Díaz,0,0,1,1,0,1,0,0
Óscar Sánchez López,1,1,0,0,0,0,1,0
Beatriz Gómez Martín,0,0,0,1,1,0,0,1
Iván Pérez Ruiz,1,0,1,0,0,1,0,0
Rocío Fernández García,0,1,0,0,1,0,1,0
Hugo Navarro Martín,1,0,0,1,0,0,0,1
Patricia Díaz López,0,1,1,0,0,1,0,0
Álvaro Torres Ruiz,1,0,0,0,1,0,1,0
Claudia Martín Gómez,0,0,1,1,0,0,1,0
